aarch64-198: 09/01 14:26:52 | INFO | [pytest_runtest_setup]: 
========== test_music_003 || 专辑-列表字段 ========== [2/2]
aarch64-198: 09/01 14:26:52 | INFO | [open_music_in_dock_by_attr]: 点击任务栏图标启动音乐
aarch64-198: 09/01 14:26:52 | DEBUG | [get_process_status]: ps -aux | grep deepin-music | grep -v grep | grep -v pytest | grep -v python | grep -v asan | grep -v tee | grep -v ffmpeg | grep -v youqu
aarch64-198: 09/01 14:26:52 | INFO | [click_and_focus_application_in_dock_by_attr]: 在dock启动应用
aarch64-198: 09/01 14:26:52 | INFO | [click_application_in_dock_by_attr]: 点击 dock 栏应用图标
aarch64-198: 09/01 14:26:52 | INFO | [send_link_to_dock]: 发送快捷方式到任务栏
aarch64-198: 09/01 14:26:52 | DEBUG | [app_element]: (('Form_mainwindow',), {}) 获取元素对象 <[form | Form_mainwindow]>
aarch64-198: 09/01 14:26:52 | DEBUG | [send_link_to_dock]: 发送<音乐>快捷方式到任务栏
aarch64-198: 09/01 14:26:52 | DEBUG | [element_click]: 左键 点击元素 Btn_音乐
aarch64-198: 09/01 14:26:52 | DEBUG | [app_element]: (('Btn_音乐',), {}) 获取元素对象 <[push button | Btn_音乐]>
aarch64-198: 09/01 14:26:52 | DEBUG | [element_center]: 获取元素中心坐标 ((236.0, 1060.0))
aarch64-198: 09/01 14:26:52 | DEBUG | [click]: 点击坐标 (236.0, 1060.0)
aarch64-198: 09/01 14:26:52 | DEBUG | [click_application_in_dock_by_attr]: 在任务栏点击 <Btn_音乐> 按钮
aarch64-198: 09/01 14:26:56 | INFO | [recovery_music_by_cmd]: 恢复音乐文件
aarch64-198: 09/01 14:26:56 | DEBUG | [run_cmd]: echo '1'|sudo -S chmod -R 777 /home/uos/Music/bensound-sunny.mp3
aarch64-198: 09/01 14:26:56 | DEBUG | [run_cmd]: 请输入密码验证成功
aarch64-198: 09/01 14:26:56 | INFO | [first_add_music_by_ui]: 打开应用，添加音乐
aarch64-198: 09/01 14:26:56 | INFO | [click_scan_text_in_music_by_ui]: 扫描
aarch64-198: 09/01 14:26:58 | DEBUG | [press_key]: 点击键盘上指定的按键<esc>, 间隔<0.0>
aarch64-198: 09/01 14:26:58 | DEBUG | [window_location_and_sizes]: 窗口左上角坐标 (425, 200),获取窗口大小 1070*680
